id;the_geom;osm_id;name;ref;type;oneway;bridge;maxspeed
roads.1;MULTILINESTRING ((1.4844746 43.5929086, 1.483905 43.5931942, 1.4836062 43.5933472, 1.4835023 43.5933858, 1.4833494 43.5934217, 1.4829472 43.5935453, 1.4823242 43.5937816, 1.4816593 43.5940338, 1.4808245 43.5943622, 1.4795768 43.5948136, 1.4793504 43.594875, 1.4791976 43.5948756, 1.4790885 43.5948489, 1.4785731 43.5946651, 1.478397 43.5946179));1863458;Rue Julia;;residential;0;0;0
roads.2;MULTILINESTRING ((1.4283456 43.5849928, 1.428526 43.5849419, 1.4285995 43.5849264, 1.4290071 43.5848761));2304962;Pont de la Croix de Pierre;;secondary;1;0;50
roads.3;MULTILINESTRING ((1.444174 43.5839023, 1.4443762 43.5839308, 1.4444045 43.5839348, 1.4449372 43.5840077, 1.4456686 43.5841056, 1.4473082 43.584335));2304963;Boulevard des Récollets;;secondary;0;0;50
roads.4;MULTILINESTRING ((1.4419736 43.5921351, 1.4418805 43.5921357, 1.4414594 43.5921721, 1.4412119 43.5921988, 1.4408405 43.5922362));2305016;Pont Saint-Michel;;primary;1;1;50
roads.5;MULTILINESTRING ((1.4519821 43.59666, 1.4519481 43.5966526, 1.4517386 43.5965899, 1.4515376 43.5964973, 1.451395 43.5964078, 1.4513834 43.5963974, 1.4512715 43.5962735));2305119;Square Boulingrin;;primary;1;0;50
roads.6;MULTILINESTRING ((1.4538758 43.5960178, 1.4538934 43.5960596, 1.4539312 43.5960937, 1.4539591 43.5961083));2305291;Allée Paul Sabatier;;primary;1;0;50
roads.7;MULTILINESTRING ((1.4543622 43.6094748, 1.4544253 43.6094223, 1.4544626 43.6093915, 1.4545396 43.6093276));2305296;Boulevard de la Gare;;primary;1;0;50
roads.8;MULTILINESTRING ((1.4571516 43.6051353, 1.4571698 43.605062, 1.457185 43.6050091));2305297;Boulevard de la Gare;;primary;1;0;50
roads.9;MULTILINESTRING ((1.451182 43.5954081, 1.4511113 43.5953808, 1.4510491 43.5953604, 1.4498137 43.5949189, 1.4496605 43.5948642, 1.4495105 43.5948106, 1.4493406 43.5947499, 1.4490765 43.5946522, 1.4489488 43.5946094));2305443;Allées Jules Guesde;;primary;0;0;50
roads.10;MULTILINESTRING ((1.4147569 43.6116078, 1.4145747 43.6116494, 1.4145346 43.6116606, 1.4142423 43.6117293, 1.4139827 43.6118154, 1.4136837 43.6119824, 1.4133852 43.6122229, 1.4133437 43.6122572, 1.4129963 43.6125488, 1.4126904 43.6128306, 1.4124884 43.6130329));2305718;Route de Blagnac;D 1;tertiary;0;0;0
roads.11;MULTILINESTRING ((1.4236191 43.5792191, 1.4236515 43.5791073, 1.423682 43.5789153, 1.4236931 43.5787092, 1.4237269 43.5783305, 1.4237725 43.5778062, 1.4237801 43.5777189, 1.4238952 43.5763951, 1.4239881 43.5755467, 1.4240175 43.5750878, 1.4240359 43.5748593, 1.4241029 43.574045, 1.4241128 43.573929, 1.4241447 43.573543, 1.4241959 43.5730621, 1.4242058 43.5728645, 1.4242134 43.5727112, 1.4242722 43.5721197, 1.4242774 43.5720646, 1.4243515 43.5712668));2305863;Route d'Espagne;;secondary;1;0;50
roads.12;MULTILINESTRING ((1.4722565 43.5733898, 1.471884 43.5736071, 1.4709799 43.5741486, 1.4703053 43.5745081, 1.469784 43.5747806, 1.4694587 43.5749506, 1.4693163 43.5750172, 1.4691729 43.5750714, 1.4690304 43.5751233, 1.4686138 43.57525, 1.4679331 43.5754599));2305914;Boulevard de la Méditerranée;;primary;1;0;50
roads.13;MULTILINESTRING ((1.4364256 43.5773698, 1.4363721 43.5773722, 1.4363027 43.5773759));2306257;Passerelle de la Poudrerie;;residential;1;0;0
roads.14;MULTILINESTRING ((1.430304 43.6518901, 1.4300747 43.6522123, 1.4299513 43.6524189, 1.4298534 43.6526149, 1.4298065 43.6527362, 1.4297676 43.6528634, 1.4297327 43.6530681, 1.4297086 43.6532495, 1.429714 43.6534126, 1.4297234 43.653593, 1.4297703 43.6540142, 1.4297676 43.6541908, 1.4297287 43.6543635, 1.4296697 43.6545333, 1.4295664 43.6547002, 1.4294779 43.6548059, 1.4293814 43.6548942, 1.4292674 43.6549816, 1.4291373 43.6550582, 1.4290018 43.6551252, 1.4288302 43.6551873, 1.4286371 43.6552348, 1.4284466 43.6552668));2409234;Périphérique Extérieur;A 620;motorway_link;1;0;0
roads.15;MULTILINESTRING ((1.4175688 43.6241918, 1.4174448 43.6242197, 1.4165014 43.6244199, 1.4155626 43.6246219, 1.4148564 43.6247752, 1.4145152 43.6248461, 1.4139801 43.6249694, 1.4136395 43.6250335, 1.4132975 43.6250908, 1.4128911 43.6251461, 1.4124674 43.6251859));2417020;;A 621;motorway;1;0;90
roads.16;MULTILINESTRING ((1.4926928 43.5581047, 1.4926488 43.558161, 1.4925914 43.5582105, 1.4925224 43.5582516, 1.4924441 43.5582828, 1.4923594 43.5583032, 1.4922709 43.5583119, 1.4921817 43.5583087, 1.4920948 43.5582938, 1.4920038 43.5582637, 1.4919233 43.5582208, 1.4918566 43.5581668, 1.4918065 43.5581041, 1.4917752 43.5580353));4299503;;;motorway_link;0;0;0
roads.17;MULTILINESTRING ((1.488536 43.5572954, 1.4885926 43.5572449, 1.4886611 43.5572028, 1.4887392 43.5571706, 1.4888241 43.5571494, 1.4889129 43.5571399, 1.4890027 43.5571424, 1.4890902 43.557157, 1.4891798 43.5571859, 1.4892595 43.5572273, 1.4893261 43.5572795, 1.4893768 43.5573403, 1.4894096 43.5574073));4299504;;;motorway_link;0;0;0
roads.18;MULTILINESTRING ((1.4894096 43.5574073, 1.4895071 43.5574784, 1.4895865 43.5575211, 1.4896721 43.5575474, 1.4897543 43.5575644, 1.4901208 43.5576126));4299506;;A623;motorway;1;0;50
roads.19;MULTILINESTRING ((1.4900799 43.5577133, 1.4897485 43.5576641, 1.4896119 43.5576484, 1.4895163 43.5576428, 1.4894442 43.5576503, 1.4893567 43.5576683));4299507;;A 623;motorway;1;0;0
